Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Roughness,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
23,58186.2659,58186.2659,0.6575,9.3032,1,1,908,939,0.4226,0.4765,0.8047,2.0988,1203.2331,0.7913,2021-10-21,272.1857,364.1170,272.1857,120.6222,3.8130,4.3645,10.0000,-80.0000,0.2887,0.7760,0.0000,0.2291,581.4476,133.2224,294-032502 st2 4 juni 2021 50 m halv_000001.tif,37,55,312,195,40.8335,451.2052,9B269FEA-F887-4DD4-9D19-342B5281CE8F,2,1429.3399,1.1879,26.0334,33,0.0000,0,0.0000,0.0000,36546.0000,0.4496,05:26:21,2021-10-21T05:26:21.200,0.2525,1.055831e+07,2.527677e+07,255.8380
24,50496.3354,50496.3354,0.6669,9.3032,1,1,1005,884,0.6897,0.8844,0.9179,1.1307,911.0205,1.0000,2021-10-21,253.5625,271.8600,253.5625,230.2826,3.8130,1.0000,-60.0000,20.0000,0.0000,1.3763,0.0000,1.0000,246.7285,246.7285,294-032502 st2 4 juni 2021 50 m halv_000001.tif,41,32,369,195,24.8131,339.5668,66EE4D7D-3BCC-4CB5-9963-D661A9C66261,1,986.9142,1.0833,18.2291,33,0.0000,0,0.0000,0.0000,19652.0000,0.8338,05:26:21,2021-10-21T05:26:21.200,0.0673,8.535984e+06,1.052045e+07,209.3220
25,42595.4645,42595.4645,0.5513,9.3032,1,1,741,448,0.4365,0.6014,0.7784,1.6628,963.4999,0.8839,2021-10-21,232.8824,286.5907,232.8824,158.2574,3.8130,2.8763,25.0000,-75.0000,0.0960,0.9124,0.0000,0.3477,412.9462,143.5694,294-032502 st2 4 juni 2021 50 m halv_000001.tif,32,45,403,195,38.1036,376.7796,DE80B27E-C938-4D94-AD81-DCFE02A238C0,1,1113.0311,1.1552,24.4415,33,0.0000,0,0.0000,0.0000,26101.0000,0.4691,05:26:21,2021-10-21T05:26:21.200,0.1874,6.613157e+06,1.232494e+07,200.0188
26,32215.0266,32215.0266,0.1989,9.3032,1,1,290,371,0.0000,0.2178,0.2409,4.5921,1337.3006,0.6110,2021-10-21,202.5276,406.4977,202.5276,133.8553,3.8130,12.3456,-55.0000,40.0000,0.2882,0.7763,0.0000,0.0810,761.0067,61.6418,294-032502 st2 4 juni 2021 50 m halv_000001.tif,57,51,450,195,54.7989,590.7532,CFDF003F-A59B-4647-85DA-BA3D233C200A,1,1645.2970,1.2303,21.0466,33,0.0000,0,0.0000,0.0000,29701.0000,0.1787,05:26:21,2021-10-21T05:26:21.200,0.5018,4.349622e+06,3.517005e+07,134.8964
27,243549.5234,243549.5234,0.4928,9.3032,1,1,158,81,0.2669,0.2778,0.6936,3.5998,2359.0078,0.7024,2021-10-21,556.8634,731.0762,556.8634,78.8399,3.8130,9.2003,-45.0000,30.0000,0.8503,0.5405,0.0000,0.1087,1609.4440,174.9335,294-032502 st2 4 juni 2021 50 m halv_000001.tif,94,81,503,195,32.0470,869.8492,3D8B6B18-3A6C-48D8-BB2A-FE7CFDE04015,3,3568.7550,1.5128,23.4328,33,0.0000,0,0.0000,0.0000,104249.0000,0.4908,05:26:21,2021-10-21T05:26:21.200,0.2383,9.041588e+07,2.045910e+08,525.6308
28,43476.4907,43476.4907,0.4326,9.3032,1,1,329,1808,0.3219,0.4342,0.6617,2.3029,1097.4771,0.8610,2021-10-21,235.2785,327.9378,235.2785,124.0847,3.9220,5.0364,-75.0000,30.0000,0.2473,0.8017,0.0000,0.1986,551.1970,109.4437,294-032502 st2 4 juni 2021 50 m halv_000001.tif,53,40,586,195,33.4634,441.9020,252044DF-8DEE-4088-AF70-68724B92B004,1,1321.2814,1.2039,19.2395,34,0.0000,0,0.0000,0.0000,23324.0000,0.5011,05:26:21,2021-10-21T05:26:21.313,0.2826,6.819390e+06,1.846601e+07,181.4124
29,118719.3067,118719.3067,0.7464,9.3032,1,1,609,1705,0.3896,0.4820,0.8822,2.0749,1748.9542,0.7163,2021-10-21,388.7906,537.0012,388.7906,111.9213,3.9220,4.2850,-75.0000,15.0000,0.2581,0.7948,0.0000,0.2334,790.0453,184.3728,294-032502 st2 4 juni 2021 50 m halv_000001.tif,74,57,628,195,33.4528,627.9660,2D6D36BB-F6C9-441D-A6EA-D2F6CF907859,2,1948.8362,1.1143,21.3609,34,0.0000,0,0.0000,0.0000,56301.0000,0.4707,05:26:21,2021-10-21T05:26:21.313,0.2760,3.077130e+07,8.108198e+07,404.6892
30,69125.7836,70491.8476,0.6066,9.3032,1,1,957,1630,0.5813,0.6209,0.8627,1.6104,1165.0583,0.9152,2021-10-21,296.6710,352.2294,299.5881,139.8626,3.9220,2.6872,-25.0000,75.0000,0.1719,0.8533,0.0000,0.3721,496.0539,184.5957,294-032502 st2 4 juni 2021 50 m halv_000001.tif,38,50,687,195,41.7154,423.2956,ACB9B28E-A93B-44AF-95DA-29827D85FD8F,1,1361.2991,1.1684,27.8200,34,0.0000,0,0.0000,0.0000,43384.0000,0.7812,05:26:21,2021-10-21T05:26:21.313,0.1577,1.367174e+07,2.288102e+07,255.8380
31,213031.7560,217439.4848,0.7414,9.3032,1,1,384,1530,0.0000,0.0313,0.1785,31.9301,3998.3991,0.2086,2021-10-21,520.8075,1254.3812,526.1678,110.8108,3.9220,98.3012,-80.0000,-30.0000,2.6872,0.2712,0.0000,0.0102,4991.1128,50.7737,294-032502 st2 4 juni 2021 50 m halv_000001.tif,167,141,739,195,48.4880,1353.6156,8D54B838-C118-4BEE-8C17-46ED10DEABE0,18,10083.7729,2.5220,24.0370,34,0.0000,0,0.0000,0.0000,139306.0000,0.0900,05:26:21,2021-10-21T05:26:21.313,0.5848,7.396569e+07,1.033445e+09,1139.6420
32,61492.8869,61492.8869,0.3166,9.3032,1,1,286,1504,0.0000,0.2776,0.4491,3.6021,1653.3852,0.6932,2021-10-21,279.8128,507.7994,279.8128,139.5393,3.9220,9.2079,0.0000,70.0000,0.1551,0.8657,0.0000,0.1086,865.0565,93.9476,294-032502 st2 4 juni 2021 50 m halv_000001.tif,34,89,882,195,38.6944,748.9076,C005747C-B96C-444C-A96F-B7F6C92C1798,1,1918.0082,1.1600,20.6601,34,0.0000,0,0.0000,0.0000,36334.0000,0.3693,05:26:21,2021-10-21T05:26:21.313,0.4490,1.147100e+07,6.856067e+07,190.7156
